timestamp,system,M,size,build_ef,graph,k,search_ef,recall,qps_t,hop,dist,thread
2024-08-01 19:14:15.767,hnsw_pickle,32,10M,500,bigann,1,30,96.9,2050,38.6,1710.3,48
2024-08-01 19:14:16.054,hnsw_pickle,32,10M,500,bigann,1,50,98.7,1395,58.2,2489.1,48
2024-08-01 19:14:16.433,hnsw_pickle,32,10M,500,bigann,1,70,99.2,1060,77.9,3231.7,48
2024-08-01 19:14:16.902,hnsw_pickle,32,10M,500,bigann,1,90,99.6,847,97.8,3943.3,48
2024-08-01 19:14:17.412,hnsw_pickle,32,10M,500,bigann,1,100,99.6,781,107.7,4289.2,48
2024-08-01 19:14:18.344,hnsw_pickle,32,10M,500,bigann,1,200,100.0,427,207.4,7507.2,48
2024-08-01 19:14:19.691,hnsw_pickle,32,10M,500,bigann,1,300,100.0,295,307.3,10429.2,48
2024-08-01 19:14:21.426,hnsw_pickle,32,10M,500,bigann,1,400,100.0,229,407.2,13164.2,48
2024-08-01 19:14:23.544,hnsw_pickle,32,10M,500,bigann,1,500,100.0,187,507.2,15761.4,48
2024-08-01 19:14:23.649,hnsw_pickle,32,10M,500,bigann,10,10,79.8,3945,19.6,876.0,48
2024-08-01 19:14:23.799,hnsw_pickle,32,10M,500,bigann,10,20,89.5,2736,29.1,1303.9,48
2024-08-01 19:14:23.997,hnsw_pickle,32,10M,500,bigann,10,30,93.6,2055,38.6,1710.3,48
2024-08-01 19:14:24.286,hnsw_pickle,32,10M,500,bigann,10,50,97.0,1383,58.2,2489.1,48
2024-08-01 19:14:24.667,hnsw_pickle,32,10M,500,bigann,10,70,98.3,1050,77.9,3231.7,48
2024-08-01 19:14:25.135,hnsw_pickle,32,10M,500,bigann,10,90,98.9,854,97.8,3943.3,48
2024-08-01 19:14:25.647,hnsw_pickle,32,10M,500,bigann,10,100,99.1,777,107.7,4289.2,48
2024-08-01 19:14:26.581,hnsw_pickle,32,10M,500,bigann,10,200,99.8,425,207.4,7507.2,48
2024-08-01 19:14:27.919,hnsw_pickle,32,10M,500,bigann,10,300,99.9,296,307.3,10429.2,48
2024-08-01 19:14:29.648,hnsw_pickle,32,10M,500,bigann,10,400,100.0,230,407.2,13164.2,48
2024-08-01 19:14:31.746,hnsw_pickle,32,10M,500,bigann,10,500,100.0,189,507.2,15761.4,48
2024-08-01 19:14:32.299,hnsw_pickle,32,10M,500,bigann,100,100,96.1,776,107.7,4289.2,48
2024-08-01 19:14:33.282,hnsw_pickle,32,10M,500,bigann,100,200,98.9,421,207.4,7507.2,48
2024-08-01 19:14:34.672,hnsw_pickle,32,10M,500,bigann,100,300,99.6,295,307.3,10429.2,48
2024-08-01 19:14:36.457,hnsw_pickle,32,10M,500,bigann,100,400,99.8,228,407.2,13164.2,48
2024-08-01 19:14:38.627,hnsw_pickle,32,10M,500,bigann,100,500,99.9,186,507.2,15761.4,48
2024-08-01 19:16:26.362,hnsw_pickle,32,1M,100,deep,1,1,50.9,5703,8.3,1226.4,48
2024-08-01 19:16:26.459,hnsw_pickle,32,1M,100,deep,1,5,81.3,4042,13.0,1446.6,48
2024-08-01 19:16:26.575,hnsw_pickle,32,1M,100,deep,1,10,90.1,3694,17.8,1636.4,48
2024-08-01 19:16:26.737,hnsw_pickle,32,1M,100,deep,1,20,95.4,2616,27.4,1969.6,48
